id,start,end,commuteDuration,travelType,commuteActivity,employmentType,employmentType_og,employmentDuration,employmentLevel,salary,whyCommute,whyLiveHere,collegeInSantaCruz,collegeWhere,residenceDuration,workedInSantaCruz,whyNoWorkInSantaCruz,whatSalaryNeeded,heardOfStartupNewsHere,consideredJobsInSantaCruz,techEventsInSantaCruz,attendTechEvents,maritalStatus,children,rentOrOwn,age,commentsOrSuggestions,continuedInvolvement
72370648,3/6/14 9:54,3/6/14 10:00,90,Car (single occupancy),(blank),Operations,Operations,12,Team Member,150000,Salary and stock compensation,Community,No,No,12,Yes,Company relocated,Within 90%,A lot,Yes,Have not attended an event,(blank),Single,Yes,Own,54,Social media updates on events and jobs.  I do not get hard copy paper and do not have time to look for the information it basically needs to be in my view for me to know what is going on or KSBW  news- I do make an effort to watch KSBW.,Information about tech job openings in Santa Cruz Input opportunities on proposed City and County measures related to the tech-economy Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
72371521,3/6/14 10:05,3/6/14 10:05,120,Company bus,Personal activities with WiFi,Software Developer,Software Developer,4,Team Member,150000,Specific job availability,Lifestyle,No,No,12,Yes,Laid off,Within 90%,A little,Yes,Santa Cruz New Tech Meetup,Monthly,Single,Yes,Own,59,more jobs,Information about tech job openings in Santa Cruz
72371647,3/6/14 10:04,3/6/14 10:04,120,Car (single occupancy),(blank),Software Developer,Software Developer,7,Team Member,250000,Specific job availability,Community,No,No,12,No,(blank),Within 80%,Some,Yes,Santa Cruz New Tech Meetup,This is my first time at an event,Married,Yes,Own,49,More people from ober the hill working here.  ,Information about tech job openings in Santa Cruz
72371648,3/6/14 10:15,3/6/14 10:15,150,Car (single occupancy),(blank),Software Developer,Software Developer,2,Team Member,150000,Specific job availability,Lifestyle,No,No,12,Yes,Laid off,Within 90%,Some,Yes,Santa Cruz New Tech Meetup,Monthly,Single,No,Rent,49,(blank),Information about tech job openings in Santa Cruz
72371650,3/6/14 10:19,3/6/14 10:19,45,Company bus,Work with WiFi,Engineering (other),Electrical Engineer,10,Team Manager,250000,Specific job availability,Lifestyle,No,No,2,No,(blank),Within 80%,A lot,Yes,Santa Cruz New Tech Meetup,Monthly,Married,Yes,Own,39,Convince more VCs its ok,No thanks
72372182,3/6/14 10:30,3/6/14 10:34,150,Car (single occupancy),(blank),Software Developer,Software Developer,10,Team Manager,250000,Specific job availability,Family,No,No,12,Yes,Better opportunity over the hill,Within 90%,A little,Yes,Have not attended an event,(blank),Married,Yes,Own,34,(blank),The results of this survey when they are made public
72372512,3/6/14 10:38,3/6/14 10:38,180,Car (single occupancy),(blank),Management,Executive,2,C-Level Executive,250000,Company of interest,Lifestyle,No,No,10,Yes,Better opportunity over the hill,Within 80%,A lot,No but I will now that you mention it,Santa Cruz New Tech Meetup,A few times a year,Married,No,Own,44,(blank),The results of this survey when they are made public
72490749,3/6/14 12:17,3/6/14 12:21,180,Car (single occupancy),(blank),Software Developer,UI / UX,3,Team Manager,75000,Specific job availability,Lifestyle,No,No,6,No,(blank),Within 80%,Nothing,No but I will now that you mention it,Have not attended an event,(blank),Domestic Partner,No,Rent,65,(blank),Information about tech job openings in Santa Cruz Input opportunities on proposed City and County measures related to the tech-economy Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
75556445,3/11/14 6:55,3/11/14 6:59,120,Car (single occupancy),(blank),Business Development,Business Development,1,Consultant,250000,Specific job availability,Lifestyle,No,No,12,No,(blank),Within 90%,Nothing,No but I will now that you mention it,Have not attended an event,(blank),Single,No,Own,59,(blank),Information about tech job openings in Santa Cruz Reminders about tech-community events in Santa Cruz
75521388,3/11/14 4:59,3/11/14 5:02,120,Car (single occupancy),(blank),Software Developer,Software Developer,12,Team Member,150000,Salary and stock compensation,Lifestyle,Yes,Bethany College,12,Yes,Better opportunity over the hill,Within 90%,Nothing,No but I will now that you mention it,Have not attended an event,(blank),Married,No,Own,65,(blank),Information about tech job openings in Santa Cruz The results of this survey when they are made public
72174472,3/4/14 11:59,3/4/14 12:04,45,Company bus,Work with WiFi,Engineering (other),IT,1,Team Member,250000,Salary and stock compensation,Lifestyle,Yes,Cabrillo,12,Yes,Better opportunity over the hill,Within 80%,A lot,Yes,Santa Cruz Geeks,A few times a year,Married,Yes,Own,34,(blank),No thanks
75885579,3/12/14 2:25,3/12/14 2:47,150,Car (single occupancy),(blank),Management,Product Manager,1,Team Manager,0,All of the Above,Community,Yes,Cabrillo,12,Yes,Better opportunity over the hill,Equivalent,A little,Yes,Santa Cruz New Tech Meetup,A few times a year,Married,No,Rent,59,To be more than a tech backwater of Silicon Valley we need a comprehensive and coordinated 5 year strategic plan (and we must re-evaluate it every year). We're never going to compete with the valley but the opportunity to be considered a part of the valley has always been there. We need an open collaborative process to create a set of concrete objectives and a strategic plan. We must then manage it in an open collaborative way to avoid a tyranny-of-the-few situation which often naturally evolves. To increase the possibility of success the process of creating and managing the implementation of the plan will be almost as important as the plan itself--and trust me I understand how odd that sounds.,Information about tech job openings in Santa Cruz Input opportunities on proposed City and County measures related to the tech-economy Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
76059345,3/12/14 12:52,3/12/14 12:56,120,Car (single occupancy),(blank),Engineering (other),Systems Engineer,7,Team Member,100000,Specific job availability,Family,Yes,Cabrillo,12,Yes,Better opportunity over the hill,Within 90%,Some,Yes,Have not attended an event,(blank),Married,Yes,Own,49,Although Santa Cruz is considered a tourist town the tech wages need to get closer to those in the Silicon Valley.,Information about tech job openings in Santa Cruz
70648545,2/12/14 11:58,2/12/14 11:58,90,Company bus,Work with WiFi,Finance,Finance,3,Team Member,0,Company of interest,Community,Yes,UCSC,10,Yes,graduated college,Within 90%,Nothing,Yes,Have not attended an event,(blank),Married,No,Rent,29,(blank),No thanks
70680441,2/13/14 0:16,2/13/14 0:16,150,Company bus,Sleep,Operations,Operations,1,Independent Contractor,75000,Career progression,Family,Yes,UCSC,6,Yes,Better opportunity over the hill,Equivalent,Some,No,Have not attended an event,(blank),Single,No,Rent,24,(blank),No thanks
70788487,2/14/14 9:45,2/14/14 9:45,150,Company bus,Work with WiFi,Business Development,Business Development,10,Team Member,150000,Company of interest,Lifestyle,Yes,UCSC,2,Yes,Better opportunity over the hill,Within 80%,Nothing,No but I will now that you mention it,Have not attended an event,(blank),Married,No,Own,49,thanks ,The results of this survey when they are made public
70837299,2/15/14 0:13,2/15/14 0:13,90,Independent shuttle,Work with WiFi,Design,Graphic Design,4,Team Manager,0,Specific job availability,Lifestyle,Yes,UCSC,12,Yes,Company closed,(blank),Nothing,No but I will now that you mention it,Santa Cruz New Tech Meetup,This is my first time at an event,Married,Yes,Own,49,(blank),Information about tech job openings in Santa Cruz
71134432,2/19/14 6:21,2/19/14 6:21,120,Car (single occupancy),(blank),Sales,Sales,1,Vice President,250000,Salary and stock compensation,Lifestyle,Yes,UCSC,12,Yes,Company relocated,Within 70%,A lot,Yes,Santa Cruz New Tech Meetup ,Monthly,Married,Yes,Own,65,centralized calendar for all events searchable by areas of interest such as tech,Information about tech job openings in Santa Cruz
71146246,2/19/14 10:11,2/19/14 10:11,45,Company bus,Work with WiFi,Software Developer,Software Developer,1,Team Member,250000,Specific job availability,Lifestyle,Yes,UCSC,12,No,(blank),Within 90%,Some,No,Have not attended an event,(blank),Married,Yes,Own,44,More rech companies.  ,No thanks
71307982,2/20/14 23:30,2/20/14 23:30,150,Car (single occupancy),(blank),Finance,Pricing and Yield Analyst,1,Team Member,100000,Specific job availability,Lifestyle,Yes,UCSC,10,No,(blank),Within 80%,A little,Yes,Have not attended an event,(blank),Single,(blank),Rent,34,(blank),Reminders about tech-community events in Santa Cruz
71665912,2/26/14 8:05,2/26/14 8:08,120,Car (single occupancy),(blank),Software Developer,UI / UX,1,Director,500000,Salary and stock compensation,Lifestyle,Yes,UCSC,10,Yes,Company relocated,Equivalent,A lot,Yes,Santa Cruz New Tech Meetup  ,A few times a year,Married,Yes,Own,44,(blank),Input opportunities on proposed City and County measures related to the tech-economy The results of this survey when they are made public
71705069,2/26/14 12:33,2/26/14 12:33,90,Company bus,Work with WiFi,Software Developer,Software Developer,7,Team Member,150000,Salary and stock compensation,Lifestyle,Yes,UCSC,12,Yes,Laid off,Equivalent,A lot,Yes,Santa Cruz New Tech Meetup,Monthly,Married,Yes,Own,44,more startup funding,Information about tech job openings in Santa Cruz
71881766,2/28/14 12:47,2/28/14 12:52,150,Car (single occupancy),(blank),Management,Project Manager,12,Team Manager,150000,Salary and stock compensation,Community,Yes,UCSC,12,No,(blank),Equivalent,Nothing,No but I will now that you mention it,(blank),This is my first time at an event,Married,Yes,Own,49,(blank),Information about tech job openings in Santa Cruz Input opportunities on proposed City and County measures related to the tech-economy The results of this survey when they are made public
72070818,3/3/14 8:05,3/3/14 8:09,90,Company bus,Work with WiFi,Software Developer,Software Developer,2,Team Member,250000,Salary and stock compensation,Family,Yes,UCSC,4,Yes,(blank),Within 90%,A lot,Yes,Santa Cruz New Tech Meetup,(blank),Married,Yes,(blank),39,more employers,(blank)
72169793,3/4/14 10:41,3/4/14 10:45,150,Company bus,Work with WiFi,Software Developer,Software Developer,7,Team Member,150000,Career progression,Community,Yes,UCSC,12,Yes,Laid off,Within 80%,Some,Yes,Have not attended an event,(blank),Single,No,Own,34,I love that we're finally seeing more tech in Santa Cruz.  I worked at Borland before starting at Google in 2007 but we now have some great small companies downtown.,Information about tech job openings in Santa Cruz Input opportunities on proposed City and County measures related to the tech-economy Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
72224238,3/5/14 2:02,3/5/14 2:05,120,Car (single occupancy),(blank),Other,Legal,2,Vice President,500000,Specific job availability,Lifestyle,Yes,UCSC,12,No,(blank),Within 50%,A little,Yes,Have not attended an event,(blank),Married,Yes,Own,49,(blank),The results of this survey when they are made public
72371522,3/6/14 10:15,3/6/14 10:15,150,Car (single occupancy),(blank),Engineering (other),Bio Engineer,5,Vice President,150000,Specific job availability,Lifestyle,Yes,UCSC,12,Yes,Better opportunity over the hill,Within 90%,A lot,Yes,Santa Cruz New Tech Meetup,Monthly,Married,No,Own,44,so far so good.  keep it up. ,Information about tech job openings in Santa Cruz Input opportunities on proposed City and County measures related to the tech-economy Reminders about tech-community events in Santa Cruz The results of this survey when they are made public
74149473,3/8/14 5:55,3/8/14 6:00,150,Independent shuttle,Personal activities with WiFi,Software Developer,Software Developer,1,Intern,75000,Specific job availability,Community,Yes,UCSC,6,Yes,Better opportunity over the hill,Equivalent,Nothing,No,(blank),This is my first time at an event,Single,No,Rent,34,(blank),(blank)
