"Respondent ID","Start Date","EndDate","IP Address","Country Code","Country Name","State","gender",,"withFamily","age","howDidYouHearAboutThis","howDidYouHearAboutThis1","whatDrewYou","whatDrewYou1","howYouArrive","howYouArrive1","parkingGood","whereLive","whereLive1","wantHappenAgain","spendMoreTimeIfTrafficFree","howMuchSpendingToday","learnAboutNewBusinesses","suggestionsComments","enterRaffleFamilyCycling","likeContactAbout","Type","Platform","Agent","Referrer"
88563789,"2014-05-05 03:43:13","2014-05-05 03:43:13","63.249.68.13","US","United States","California","Female",,2,"18-40","Good Times ad",,"Closed road for walking| bicycling & playing",,"Walk",,,"Live Oak",,"Yes","Yes","$11-25","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563790,"2014-05-05 03:46:02","2014-05-05 03:46:02","63.249.68.13","US","United States","California","Female",,"5+","41-62","Newspaper Article",,"Closed road for walking| bicycling & playing",,"Bike",,,"Pleasure Point",,"Yes","Yes","$51-100","Yes","have matt meyer demonstrate bike balance skills","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563792,"2014-05-05 03:47:47","2014-05-05 03:47:47","63.249.68.13","US","United States","California","Female",,"5+","63+","Word of Mouth",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Shopping & Dining",,"Walk",,,,,"Yes","Yes","$51-100","Yes",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563794,"2014-05-05 03:52:25","2014-05-05 03:52:25","63.249.68.13","US","United States","California","Female",,1,"63+","Email/Web",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun| Shopping & Dining",,"Bike",,,"Santa Cruz",,"Yes","Yes","$11-25","Yes","thank you!  do it again!","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563795,"2014-05-05 03:55:16","2014-05-05 03:55:16","63.249.68.13","US","United States","California","Male",,3,"41-62","Word of Mouth",,"Closed road for walking| bicycling & playing",,"Bike",,,"Soquel",,"Yes","Yes","$11-25","No",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563796,"2014-05-05 03:58:06","2014-05-05 03:58:06","63.249.68.13","US","United States","California","Female",,2,"41-62","Newspaper Article| Word of Mouth",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","$11-25","No","I&aposd like to volunteer","Yes","Open Streets updates and future events| Volunteer opportunities","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563797,"2014-05-05 04:00:31","2014-05-05 04:00:31","63.249.68.13","US","United States","California","Male",,3,"41-62","Newspaper Article",,"Closed road for walking| bicycling & playing| Free activities| music & info booths",,"Walk",,,"Capitola",,"Yes","Yes","$26-50","No",,"Yes","Open Streets updates and future events| Volunteer opportunities","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563798,"2014-05-05 04:04:16","2014-05-05 04:04:16","63.249.68.13","US","United States","California","Male",,4,"41-62","I just happened upon it",,"Closed road for walking| bicycling & playing",,"Walk",,,"Capitola",,"Yes","Yes","$26-50","Yes","great event","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563800,"2014-05-05 04:06:16","2014-05-05 04:06:16","63.249.68.13","US","United States","California","Female",,3,"18-40","Word of Mouth",,"Free activities| music & info booths| Community and family  fun",,"Walk",,,"Live Oak",,"Yes","Yes","$26-50","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563802,"2014-05-05 04:07:45","2014-05-05 04:07:45","63.249.68.13","US","United States","California","Female",,2,"41-62","Word of Mouth| Email/Web",,"Free activities| music & info booths| Community and family  fun",,"Walk",,,"I live outside of the county",,"Yes","Yes","$100+","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563803,"2014-05-05 04:11:57","2014-05-05 04:11:57","63.249.68.13","US","United States","California","Male",,2,"18-40","Word of Mouth",,"Free activities| music & info booths",,"Bike",,,"Watsonville",,"Yes","Yes","$26-50","Yes","downtown santa cruz","Yes","Open Streets updates and future events| Volunteer opportunities","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563804,"2014-05-05 04:14:31","2014-05-05 04:14:31","63.249.68.13","US","United States","California","Female",,2,,"Newspaper Article",,"Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","I have not and will not be spending money at the Capitola Village today","No",,"Yes",,"Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563806,"2014-05-05 04:17:03","2014-05-05 04:17:03","63.249.68.13","US","United States","California","Female",,"I did not come with my family","41-62","I just happened upon it",,"Closed road for walking| bicycling & playing| Shopping & Dining",,"Walk",,,"Capitola",,"Yes","Yes","$1-10","Yes","food booths","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563807,"2014-05-05 04:20:28","2014-05-05 04:20:28","63.249.68.13","US","United States","California","Male",,2,"18-40","Newspaper Article| Word of Mouth| Poster/Flier| Good Times ad",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun| Shopping & Dining",,"Bike",,,"Aptos/Rio Del Mar",,"Yes","Yes","$11-25","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563808,"2014-05-05 04:22:50","2014-05-05 04:22:50","63.249.68.13","US","United States","California","Female",,2,"41-62","I just happened upon it",,"Shopping & Dining",,"Car",,"Yes",,"Marina","Yes","Yes","$11-25","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563809,"2014-05-05 04:27:48","2014-05-05 04:27:48","63.249.68.13","US","United States","California","Female",,"I did not come with my family","63+","Newspaper Article| Word of Mouth| Good Times ad",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun| Shopping & Dining",,"Car",,"Yes","Live Oak",,"Yes","Yes","$11-25","Yes","pacific ave next?  this is great!","Yes","Volunteer opportunities","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563810,"2014-05-05 04:30:41","2014-05-05 04:30:41","63.249.68.13","US","United States","California","Female",,2,"41-62","Good Times ad",,"Closed road for walking| bicycling & playing",,"Bike",,,"Santa Cruz",,"Yes","Yes","$26-50","Yes","more open streets please!!!!","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563811,"2014-05-05 04:31:56","2014-05-05 04:31:56","63.249.68.13","US","United States","California","Female",,"I did not come with my family","18-40","Facebook",,"Closed road for walking| bicycling & playing",,"Bike",,,"Aptos/Rio Del Mar",,"Yes","Yes","$26-50","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563813,"2014-05-05 04:33:24","2014-05-05 04:33:24","63.249.68.13","US","United States","California","Female",,2,"18-40","Facebook",,"Community and family  fun",,"Bike",,,"Santa Cruz",,"Yes","Yes","$26-50","Yes",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563814,"2014-05-05 04:35:55","2014-05-05 04:35:55","63.249.68.13","US","United States","California","Female",,2,"63+","Newspaper Article",,"Closed road for walking| bicycling & playing| Free activities| music & info booths",,"Walk",,,"Watsonville",,"Yes","Yes","$51-100","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563815,"2014-05-05 04:41:10","2014-05-05 04:41:10","63.249.68.13","US","United States","California","Male",,,"41-62","Newspaper Article",,"Community and family  fun",,"Walk",,,"Capitola",,"Yes","No","$1-10","No",,"Yes","Volunteer opportunities","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563816,"2014-05-05 04:43:52","2014-05-05 04:43:52","63.249.68.13","US","United States","California","Female",,1,"63+",,"I live and walk here every day",,"I walk here every day","Walk",,,"Capitola",,"Yes","Yes","$1-10","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563817,"2014-05-05 04:45:19","2014-05-05 04:45:19","63.249.68.13","US","United States","California","Female",,1,"63+","I just happened upon it",,"Closed road for walking| bicycling & playing",,"Walk",,,"Capitola",,"Yes","Yes","$1-10","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563818,"2014-05-05 04:48:58","2014-05-05 04:48:58","63.249.68.13","US","United States","California","Male",,1,"63+","Email/Web",,"Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","$26-50","No",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563819,"2014-05-05 04:52:07","2014-05-05 04:52:07","63.249.68.13","US","United States","California","Male",,"I did not come with my family","18-40","Newspaper Article",,"Closed road for walking| bicycling & playing",,"Bike",,,"Capitola",,"Yes","Yes","I have not and will not be spending money at the Capitola Village today","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563820,"2014-05-05 04:54:18","2014-05-05 04:54:18","63.249.68.13","US","United States","California","Male",,"I did not come with my family","18-40","Word of Mouth",,"Free activities| music & info booths| Community and family  fun",,"Bike",,,"Santa Cruz",,"Yes","Yes","$26-50","Yes","its an awesome event and gives me something fun to do on the weekends!","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563822,"2014-05-05 04:59:46","2014-05-05 04:59:46","63.249.68.13","US","United States","California","Female",,2,"41-62",,,"Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","$1-10","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563824,"2014-05-05 05:02:40","2014-05-05 05:02:40","63.249.68.13","US","United States","California","Female",,"5+","18-40","Email/Web",,"Free activities| music & info booths| Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","I have not and will not be spending money at the Capitola Village today","No","maybe more vendors","Yes","Open Streets updates and future events| Volunteer opportunities","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563825,"2014-05-05 05:05:45","2014-05-05 05:05:45","63.249.68.13","US","United States","California","Male",,"I did not come with my family","18-40","I just happened upon it","emily told me","Closed road for walking| bicycling & playing",,"Walk",,,"Santa Cruz",,"Yes","Yes","$26-50","Yes",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563826,"2014-05-05 05:10:02","2014-05-05 05:10:02","63.249.68.13","US","United States","California","Female",,3,"41-62","Word of Mouth",,"Closed road for walking| bicycling & playing",,"Walk",,,"Pleasure Point",,"Yes","Yes","$26-50","No",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563827,"2014-05-05 05:12:10","2014-05-05 05:12:10","63.249.68.13","US","United States","California","Male",,2,"41-62","Newspaper Article",,"Closed road for walking| bicycling & playing| Free activities| music & info booths",,"Walk",,,"Live Oak",,"Yes","Yes","$26-50","Yes",,"Yes","Open Streets updates and future events| Volunteer opportunities","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563829,"2014-05-05 05:17:08","2014-05-05 05:17:08","63.249.68.13","US","United States","California","Male",,3,"41-62","I just happened upon it",,,"wanted to see why traffic was so messed up","Car",,"No","Capitola",,"No","No","$26-50","No","keep the streets open  ","No","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563830,"2014-05-05 05:20:35","2014-05-05 05:20:35","63.249.68.13","US","United States","California","Female",,1,"41-62","Newspaper Article",,"Community and family  fun",,"Bike",,,"Capitola",,"Yes","Yes","$11-25","No",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563831,"2014-05-05 05:29:35","2014-05-05 05:29:35","63.249.68.13","US","United States","California","Female",,3,"0-17","Word of Mouth","At school in the announcements.","Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","I have not and will not be spending money at the Capitola Village today","No","I think the open streets are good in Capitola and it would be nice in the future for this event to have booths with food.","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563832,"2014-05-05 05:34:12","2014-05-05 05:34:12","63.249.68.13","US","United States","California","Female",,"I did not come with my family","41-62","Facebook","i live in the upper village","Closed road for walking| bicycling & playing| Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","$1-10","Yes","have capitola businesses bring food and merchandise out on the street. bring more street performers..not just bands.","Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563833,"2014-05-05 05:36:21","2014-05-05 05:36:21","63.249.68.13","US","United States","California","Female",,4,"18-40","Word of Mouth",,"Closed road for walking| bicycling & playing",,"Walk",,,"Aptos/Rio Del Mar",,"Yes","Yes","$1-10","No",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563835,"2014-05-05 05:39:11","2014-05-05 05:39:11","63.249.68.13","US","United States","California","Female",,4,"0-17","Word of Mouth",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Walk",,,"Aptos/Rio Del Mar",,"Yes","Yes","$11-25","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563837,"2014-05-05 05:41:44","2014-05-05 05:41:44","63.249.68.13","US","United States","California","Female",,1,"41-62","Word of Mouth",,"Closed road for walking| bicycling & playing",,"Walk",,,"Santa Cruz",,"Yes","Yes","$1-10","No","close more streets","No","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563838,"2014-05-05 05:44:18","2014-05-05 05:44:18","63.249.68.13","US","United States","California","Female",,3,"18-40","Newspaper Article| Word of Mouth| Poster/Flier",,"Free activities| music & info booths| Community and family  fun",,"Bike",,,"Aptos/Rio Del Mar",,"Yes","Yes","$11-25","Yes",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563839,"2014-05-05 05:46:37","2014-05-05 05:46:37","63.249.68.13","US","United States","California","Male",,3,"41-62","Word of Mouth",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Bike",,,"Aptos/Rio Del Mar",,"Yes","Yes","$11-25","Yes","great event","Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563840,"2014-05-05 05:48:35","2014-05-05 05:48:35","63.249.68.13","US","United States","California","Male",,"I did not come with my family","41-62","Newspaper Article| Facebook| Word of Mouth| Email/Web| Poster/Flier",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun| Shopping & Dining",,"Bike",,,"Soquel",,"Yes","Yes","$100+","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563841,"2014-05-05 05:51:53","2014-05-05 05:51:53","63.249.68.13","US","United States","California","Male",,2,"41-62","Newspaper Article",,"Closed road for walking| bicycling & playing",,"Bike",,,"Soquel",,"Yes","Yes","$11-25","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563842,"2014-05-05 05:58:25","2014-05-05 05:58:25","63.249.68.13","US","United States","California","Female",,1,"41-62","Newspaper Article| Facebook| Word of Mouth| Poster/Flier| Good Times ad",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun| Shopping & Dining",,"Bike",,,"Live Oak",,"Yes","Yes","$100+","Yes","art and food booths|beer and wine outside","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563843,"2014-05-05 06:00:14","2014-05-05 06:00:14","63.249.68.13","US","United States","California","Female",,"I did not come with my family","41-62","Newspaper Article| Word of Mouth",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun| Shopping & Dining",,"Car",,"Yes","I live outside of the county",,"Yes","No","$11-25","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563844,"2014-05-05 06:01:59","2014-05-05 06:01:59","63.249.68.13","US","United States","California","Female",,4,"18-40","Email/Web",,"Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","$51-100","Yes",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563845,"2014-05-05 06:07:15","2014-05-05 06:07:15","63.249.68.13","US","United States","California","Male",,1,"41-62","Facebook| Email/Web| Poster/Flier| Good Times ad",,"Closed road for walking| bicycling & playing| Free activities| music & info booths",,,"handicapped walked way too long on crutches",,"Santa Cruz",,"Yes","Yes","$11-25","No","more and closer handicped parking","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563848,"2014-05-05 06:11:10","2014-05-05 06:11:10","63.249.68.13","US","United States","California",,"fluid ",1,"18-40","Newspaper Article| Facebook| Word of Mouth| Poster/Flier| Good Times ad",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun| Shopping & Dining",,"Walk",,,"Pleasure Point",,"Yes","Yes","$26-50","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563849,"2014-05-05 06:14:22","2014-05-05 06:14:22","63.249.68.13","US","United States","California","Female",,2,"41-62","Word of Mouth",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","$1-10","Yes","danceable music| salsa band","Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563850,"2014-05-05 06:19:50","2014-05-05 06:19:50","63.249.68.13","US","United States","California","Female",,2,"41-62","Newspaper Article",,"Closed road for walking| bicycling & playing",,"Walk",,,"Capitola",,"Yes","No","$1-10","No",,"Yes","Volunteer opportunities","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563852,"2014-05-05 06:23:13","2014-05-05 06:23:13","63.249.68.13","US","United States","California","Female",,2,"41-62","Newspaper Article",,"Closed road for walking| bicycling & playing",,"Walk",,,"Soquel",,"Yes","No","$1-10","No",,"Yes","Volunteer opportunities","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563853,"2014-05-05 06:31:03","2014-05-05 06:31:03","63.249.68.13","US","United States","California","Female",,2,"41-62","Word of Mouth",,"Closed road for walking| bicycling & playing| Community and family  fun| Shopping & Dining",,"Bike",,,"Capitola",,"Yes","Yes","$11-25","No","close the street often!","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563854,"2014-05-05 06:33:22","2014-05-05 06:33:22","63.249.68.13","US","United States","California","Female",,"I did not come with my family","18-40","Word of Mouth| Good Times ad",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Bike",,,"Santa Cruz",,"Yes","Yes","$11-25","Yes","great work thanks","Yes","Open Streets updates and future events| Volunteer opportunities","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563855,"2014-05-05 06:43:05","2014-05-05 06:43:05","63.249.68.13","US","United States","California","Female",,2,"18-40","Facebook",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Walk",,,"Live Oak",,"Yes","Yes","$26-50","Yes","close the village to traffic once a month! this was awesome to come hang out on the weekend.","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563858,"2014-05-05 06:46:06","2014-05-05 06:46:06","63.249.68.13","US","United States","California","Male",,"I did not come with my family","18-40","I just happened upon it",,"Closed road for walking| bicycling & playing| Free activities| music & info booths",,"Walk",,,"Capitola",,,"Yes","$1-10","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563860,"2014-05-05 06:51:28","2014-05-05 06:51:28","63.249.68.13","US","United States","California","Male",,1,"18-40","I just happened upon it",,"Shopping & Dining",,"Car",,"No",,"sacramento","Yes","Yes","$11-25","No","no","Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563861,"2014-05-05 06:55:01","2014-05-05 06:55:01","63.249.68.13","US","United States","California","Female",,4,"18-40","Poster/Flier",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Bike",,,"Santa Cruz",,"Yes","Yes","$11-25","No",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563862,"2014-05-05 07:02:16","2014-05-05 07:02:16","63.249.68.13","US","United States","California","Male",,"I did not come with my family","41-62","Facebook",,"Closed road for walking| bicycling & playing",,"Bike",,,,"felton","Yes","Yes","$1-10","No",,"No","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563863,"2014-05-05 07:04:03","2014-05-05 07:04:03","63.249.68.13","US","United States","California","Female",,"I did not come with my family","18-40","Newspaper Article",,"Community and family  fun",,"Walk",,,"Watsonville",,"Yes","Yes","$11-25","No",,"Yes","Open Streets updates and future events| Volunteer opportunities","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563864,"2014-05-06 02:06:45","2014-05-06 02:06:45","63.249.68.13","US","United States","California","Female",,4,"41-62","Newspaper Article",,"Closed road for walking| bicycling & playing",,"Car",,"Yes","Santa Cruz",,"Yes","Yes","$26-50","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88563884,"2014-05-06 02:06:35","2014-05-06 02:08:41","50.0.124.93","US","United States","California","Female",,"I did not come with my family","18-40",,"friend told me","Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun| Shopping & Dining",,"Bike",,,"Santa Cruz",,"Yes","Yes","$26-50","Yes",,"Yes","Open Streets updates and future events","Browser| Direct","Mac OS X 10.9","Chrome 0.0","http://surveys.civinomics.com/open-streets-capitola-participant-survey-questions"
88564008,"2014-05-05 02:40:03","2014-05-05 02:40:03","63.249.68.13","US","United States","California","Male",,3,"41-62","Poster/Flier",,"Community and family  fun",,"Walk",,,"Soquel",,"Yes","Yes","$11-25","Yes","none","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564010,"2014-05-05 02:44:12","2014-05-05 02:44:12","63.249.68.13","US","United States","California","Female",,2,"18-40","Newspaper Article| Facebook| Word of Mouth| Email/Web",,"Community and family  fun",,"Car",,"Yes","Santa Cruz",,"Yes","Yes","$11-25","No",,"No","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564012,"2014-05-05 02:46:47","2014-05-05 02:46:47","63.249.68.13","US","United States","California","Female",,2,"63+","I just happened upon it",,"Closed road for walking| bicycling & playing",,"Bike",,,"I live outside of the county",,"Yes","Yes","$11-25","Yes","have a booth to register bikes","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564015,"2014-05-05 02:55:38","2014-05-05 02:55:38","63.249.68.13","US","United States","California",,,,,,,"Closed road for walking| bicycling & playing",,,,,,,,,,,,"Yes",,"Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564017,"2014-05-05 02:57:23","2014-05-05 02:57:23","63.249.68.13","US","United States","California","Female",,2,"18-40","Newspaper Article| Facebook| Word of Mouth| Email/Web| Poster/Flier",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Car",,"Yes","Santa Cruz",,"Yes","Yes","$11-25","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564020,"2014-05-05 03:04:46","2014-05-05 03:04:46","63.249.68.13","US","United States","California","Female",,,"41-62","Word of Mouth",,"Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","$1-10","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564022,"2014-05-05 03:06:43","2014-05-05 03:06:43","63.249.68.13","US","United States","California","Male",,3,"41-62","Word of Mouth| Email/Web| Poster/Flier",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Bike",,,"Soquel",,"Yes","Yes","$26-50","No",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564024,"2014-05-05 03:09:41","2014-05-05 03:09:41","63.249.68.13","US","United States","California","Female",,1,"63+","Good Times ad",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun| Shopping & Dining",,"Car",,"Yes","Soquel",,"Yes","Yes","$26-50","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564025,"2014-05-05 03:11:57","2014-05-05 03:11:57","63.249.68.13","US","United States","California","Male",,1,"41-62","Good Times ad",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun| Shopping & Dining",,"Car",,"Yes","Soquel",,"Yes","Yes","$11-25","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564026,"2014-05-05 03:18:06","2014-05-05 03:18:06","63.249.68.13","US","United States","California","Female",,4,"18-40","Facebook",,"Closed road for walking| bicycling & playing| Free activities| music & info booths",,"Walk",,,"Soquel",,"Yes","No","$1-10","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564028,"2014-05-05 03:20:39","2014-05-05 03:20:39","63.249.68.13","US","United States","California","Female",,4,"41-62","I just happened upon it",,"Closed road for walking| bicycling & playing",,"Walk",,,"Aptos/Rio Del Mar",,"Yes","Yes","$100+","Yes","more music concerts and family kids events rather than wine fests","Yes","Open Streets updates and future events| Volunteer opportunities","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564029,"2014-05-05 03:21:51","2014-05-05 03:21:51","63.249.68.13","US","United States","California","Male",,4,"41-62","I just happened upon it",,"Closed road for walking| bicycling & playing",,"Walk",,,"Aptos/Rio Del Mar",,"Yes","Yes","$100+","Yes","kid events","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564030,"2014-05-05 03:24:41","2014-05-05 03:24:41","63.249.68.13","US","United States","California","Male",,4,"41-62","Email/Web",,"Closed road for walking| bicycling & playing",,"Walk",,,"Capitola",,"Yes","No","$51-100","No",,"Yes","No thanks","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564033,"2014-05-05 03:26:00","2014-05-05 03:26:00","63.249.68.13","US","United States","California","Female",,1,"41-62","Email/Web",,"Closed road for walking| bicycling & playing",,"Walk",,,"Capitola",,"Yes","Yes","$51-100","No",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564034,"2014-05-05 03:27:45","2014-05-05 03:27:45","63.249.68.13","US","United States","California","Male",,1,"41-62","Word of Mouth",,"Closed road for walking| bicycling & playing",,"Walk",,,"Capitola",,"Yes","Yes","$51-100","Yes","do more of these","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564035,"2014-05-05 03:31:01","2014-05-05 03:31:01","63.249.68.13","US","United States","California","Male",,"I did not come with my family","18-40","Poster/Flier",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,,"bike and bus",,"Santa Cruz",,"Yes","Yes","$51-100","Yes","good job","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564036,"2014-05-05 03:35:31","2014-05-05 03:35:31","63.249.68.13","US","United States","California","Male",,4,"41-62","Facebook",,"Community and family  fun",,"Bike",,,"Capitola",,"Yes","Yes","$26-50","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
88564037,"2014-05-05 03:37:59","2014-05-05 03:37:59","63.249.68.13","US","United States","California","Male",,1,"18-40","Email/Web",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Bike",,,"Live Oak",,"Yes","Yes","$11-25","Yes","more events please!","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 6.1.3","iPad 1.6",
