"Respondent ID","Start Date","EndDate","IP Address","Country Code","Country Name","State","heardOfBagBans","impressionOfBagBans",,"proposedBagBan","voteInFavor","includeFeeVoteYes","bagsFoundDecreased","trenchHasBags","carmelDoesntFee","highCostsPlasticBags","everyOtherCityFees","commentsOrSuggestions","howLongInSC","rentOrOwn","zip","childrenInHome","localMerchant","ageLower","whatYearBorn","gender","contactMeFor","Interviewers Name",,"Type","Platform","Agent","Referrer",,,
54611842,"2013-09-12 10:17:45","2013-09-12 10:17:45","174.240.38.97","US","United States","California","Yes","They've had little to no impact.",,"Yes","Probably no","Definitely no","Makes no difference","Somewhat more likely to support a ban","Makes no difference","Makes no difference","Makes no difference",,"more than 20 years","Own",95066,"Yes","No",60,"1953-1949 (age 60-64)","Male","I would not like to be contacted",,,,,,"Ariel hunter","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
54611852,"2013-09-12 10:24:46","2013-09-12 10:24:46","174.240.38.97","US","United States","California","Yes","They've had little to no impact.",,"No","Probably no","Definitely no","Makes no difference","Makes no difference","Makes no difference","Makes no difference","Makes no difference",,"more than 20 years","Rent",95066,"No","No",55,"1958-1954 (age 55-59)","Male","I would not like to be contacted",,,,,,"Ariel hunter","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
54611860,"2013-09-12 10:45:53","2013-09-12 10:45:53","174.240.38.97","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Makes no difference","Makes no difference","Makes no difference","Makes no difference","Makes no difference","Lets have reminders to bring bags!","6-10 years","Rent",95066,"Yes","No",50,"1963-1959 (age 50-54)","Female","I would not like to be contacted",,,,,,"Ariel hunter","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
54999232,"2013-09-13 08:51:40","2013-09-13 08:51:40","70.197.3.61","US","United States","California","Yes","They've had a positive impact.",,"Yes","Definitely yes","Probably yes","Makes no difference","Makes no difference","Much more likely to support a $0.10 fee","Makes no difference","Makes no difference",,"6-10 years","Own",95066,"Yes","Yes",40,"1973-1969 (age 40-44)","Female",,,"shannan","valette",,,"rachel kippen","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55199167,"2013-09-13 08:51:40","2013-09-13 08:51:40","70.197.3.61","US","United States","California","Yes","They've had a positive impact.",,"Yes","Definitely yes","Probably yes","Makes no difference","Makes no difference","Much more likely to support a $0.10 fee","Makes no difference","Makes no difference",,"6-10 years","Own",95066,"Yes","Yes",40,"1973-1969 (age 40-44)","Female",,,"shannan","valette",,,"rachel kippen","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55199170,"2013-09-13 09:09:14","2013-09-13 09:09:14","70.197.3.61","US","United States","California","Yes","The fee for paper bags is too high.",,"No","Probably no","Probably no","Somewhat more likely to support a ban","Somewhat more likely to support a ban","Makes no difference","Makes no difference","Makes no difference","less expensive reusable bags some better alternatives suggested systems extra bags","more than 20 years","Own",95066,"No","No",68,"1948 or earlier (age 65+)","Male","I would like to volunteer with Save Our Shores",,"larry","nichoalds",,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55311388,"2013-09-13 09:34:07","2013-09-13 09:34:07","63.249.85.229","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Fee should be higher fifty cents a bag ","more than 20 years","Own",95066,"No","No",60,"1953-1949 (age 60-64)","Female","I would not like to be contacted",,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 5.1.1","iPad 1.6"
55311393,"2013-09-13 10:04:06","2013-09-13 10:04:06","63.249.85.229","US","United States","California","Yes","They've had a positive impact.",,"Yes","Probably no","Definitely no","Much more likely to support a ban","Much more likely to support a ban","Don't know/ Not applicable","Makes no difference","Somewhat more likely to support a $0.10 fee","We use plastic bags to line trash containers would have to buy if not getting for free","more than 20 years","Own",95066,"No","No",68,"1948 or earlier (age 65+)","Female","I would not like to be contacted",,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 5.1.1","iPad 1.6"
55311394,"2013-09-13 10:26:21","2013-09-13 10:26:21","63.249.85.229","US","United States","California","Yes","No opinion.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Makes no difference",,"more than 20 years","Own",95066,"No","No",55,"1958-1954 (age 55-59)","Female",,,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 5.1.1","iPad 1.6"
55378549,"2013-09-14 08:59:36","2013-09-14 08:59:36","63.249.85.229","US","United States","California","Yes","They've had little to no impact.",,,"Probably yes","Probably yes","Much more likely to support a ban","Much more likely to support a ban","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Makes no difference",,"16-20 years","Own",95066,"Yes","Yes",18,"1995-1989 (age 18-24)","Female","I would not like to be contacted",,"shannon","strelke",,,"shaun","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55378551,"2013-09-14 09:18:53","2013-09-14 09:18:53","63.249.85.229","US","United States","California","Yes","They've had a positive impact.",,"Yes","Probably yes","Probably yes","Somewhat more likely to support a ban","Somewhat more likely to support a ban","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","not in agreement fully with restauramt ban.","more than 20 years","Own",95066,"Yes","No",50,"1963-1959 (age 50-54)","Male","I would not like to be contacted",,,,,,"shaun","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55378554,"2013-09-14 09:42:01","2013-09-14 09:42:01","63.249.85.229","US","United States","California","Yes","No opinion.",,"No","Definitely yes","Definitely yes","Makes no difference","Much more likely to support a ban","Makes no difference","Makes no difference","Makes no difference",,"6-10 years","Own",95066,"Yes","No",40,"1973-1969 (age 40-44)","Female","I would not like to be contacted",,,,,,"shaun","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55378556,"2013-09-14 09:50:55","2013-09-14 09:50:55","63.249.85.229","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Makes no difference",,"11-15 years","Own",95066,"Yes","No",45,"1968-1964 (age 45-49)","Male","I would not like to be contacted",,,,,,"shaun","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55378558,"2013-09-14 10:15:25","2013-09-14 10:15:25","63.249.85.229","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","if introduced, would like to see public awareness increased about that consumers will need to take a bag in or that they,ll have to pay or not be offered one.  q","more than 20 years",,95066,"No","No",45,"1968-1964 (age 45-49)","Female","I would not like to be contacted",,,,,,"shaun","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55750213,"2013-09-14 08:57:43","2013-09-14 08:57:43","70.197.9.138","US","United States","California","Yes",,"brings own bag encouraging","No","Definitely no","Definitely no","Much more likely to support a ban","Much more likely to support a ban","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","encourage to promote education","6-10 years","Own",95066,"No","No",60,"1953-1949 (age 60-64)","Female","I would not like to be contacted",,"barbara","price",,,"marina maze","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55750214,"2013-09-14 09:12:06","2013-09-14 09:12:06","70.197.9.138","US","United States","California","Yes","They've had a negative impact.",,"No","Definitely no","Definitely no","Makes no difference","Don't know/ Not applicable","Makes no difference","Don't know/ Not applicable","Makes no difference","checkers remind a long line to grab bags, culturally acceptable to leave your cart. give them time to get bags when in line. encourage in a friendly upbeat way.  put grocerys back in cart so customers to pack themselves.  encourage in a friendly way. more reminders, host at door reminding folks to grab bags. ","more than 20 years","Own",95066,"No","No",50,"1963-1959 (age 50-54)","Female","I would not like to be contacted",,"carolyn","dybsetter",,,"marina maze","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55750216,"2013-09-14 09:29:38","2013-09-14 09:29:38","70.197.9.138","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"5 years or less","Own",95066,"Yes","Yes",35,"1978-1974 (age 35-39)","Female","I would not like to be contacted",,"katalin","debord",,,"marina maze","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55750217,"2013-09-14 09:41:36","2013-09-14 09:41:36","70.197.9.138","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Somewhat more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","good to sell bags at counter for relatively cheap","16-20 years","Own",95066,"Yes","No",45,"1968-1964 (age 45-49)","Female","I would like to volunteer with Save Our Shores",,"cheryl","weingord",,,"marina maze","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55750218,"2013-09-14 09:50:23","2013-09-14 09:50:23","70.197.9.138","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"more than 20 years","Rent",95066,"Yes","Yes",45,"1968-1964 (age 45-49)","Female","I would not like to be contacted",,"angie","mays",,,"marina maze","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55750219,"2013-09-14 09:59:15","2013-09-14 09:59:15","70.197.9.138","US","United States","California","Yes","No opinion.",,"Yes","Definitely yes","Definitely yes","Somewhat more likely to support a ban","Much more likely to support a ban","Makes no difference","Makes no difference","Makes no difference",,"more than 20 years","Own",95066,"No","No",50,"1963-1959 (age 50-54)","Female","I would not like to be contacted",,"claudette","cain",,,"marina maze","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55750222,"2013-09-14 10:09:07","2013-09-14 10:09:07","70.197.9.138","US","United States","California","Yes","They've had little to no impact.",,"Yes","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","stay consistant","more than 20 years","Own",95066,"No","No",55,"1958-1954 (age 55-59)","Male","I would not like to be contacted",,"erwin","young",,,"marina maze","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55775254,"2013-09-16 02:45:24","2013-09-16 02:45:24","70.197.9.242","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"5 years or less","Rent",95066,"Yes","No",35,"1978-1974 (age 35-39)","Male","I would not like to be contacted",,"brian","larrabee",,"Lauren Dockendorf",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55775255,"2013-09-16 02:57:27","2013-09-16 02:57:27","70.197.9.242","US","United States","California","Yes","The fee for paper bags is too high.",,"Yes","Definitely no","Definitely no","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","5 cents is better than 25 cents. isnt fair for people buying a lot of groceries. still in support of no plastic bags.  ","6-10 years","Own",95066,"No","No",68,"1948 or earlier (age 65+)","Female","I would not like to be contacted",,"marilyn","longo",,"Lauren Dockendorf",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55775256,"2013-09-16 03:04:27","2013-09-16 03:04:27","70.197.9.242","US","United States","California","Yes","The fee for paper bags is too high.",,"No","Definitely no","Definitely no","Makes no difference","Makes no difference","Makes no difference","Makes no difference","Makes no difference",,"more than 20 years","Own",95066,"No","No",55,"1958-1954 (age 55-59)","Male","I would not like to be contacted",,"matt","petty",,"Lauren Dockendorf",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55775257,"2013-09-16 03:15:49","2013-09-16 03:15:49","70.197.9.242","US","United States","California","Yes","They've had a negative impact.",,"Yes","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Makes no difference",,"6-10 years","Rent",95066,"Yes","No",40,"1973-1969 (age 40-44)","Male","I would like to receive updates about this topic, I would like to volunteer with Save Our Shores",,"laura","lemus",,"Lauren Dockendorf",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55775259,"2013-09-16 03:30:25","2013-09-16 03:30:25","70.197.9.242","US","United States","California","Yes","The fee for paper bags is too high.",,"Yes","Definitely yes","Definitely no","Much more likely to support a ban","Much more likely to support a ban","Makes no difference","Makes no difference","Makes no difference","does not support a fee on paper bags. ","more than 20 years","Own",95066,"No","No",68,"1948 or earlier (age 65+)","Male","I would not like to be contacted",,,,,"Lauren Dockendorf",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55775261,"2013-09-16 03:47:02","2013-09-16 03:47:02","70.197.9.242","US","United States","California","Yes","They've had a positive impact.",,"Yes","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"6-10 years","Rent",95066,"No","No",68,"1948 or earlier (age 65+)","Female","I would not like to be contacted",,"jackie","mcroberts",,"Lauren Dockendorf",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55783179,"2013-09-16 02:51:37","2013-09-16 02:51:37","70.197.9.138","US","United States","California","Yes","They've had a positive impact.",,"Yes","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"6-10 years","Own",95066,"No","No",68,"1948 or earlier (age 65+)","Male","I would like to receive updates about this topic",,"joe","ortega",,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55783181,"2013-09-16 03:02:08","2013-09-16 03:02:08","70.197.9.138","US","United States","California","Yes","No opinion.",,"Yes","Definitely yes","Probably yes","Much more likely to support a ban","Much more likely to support a ban","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Makes no difference",,"more than 20 years","Own",95066,"No","No",68,"1948 or earlier (age 65+)","Female",,,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55783184,"2013-09-16 03:07:39","2013-09-16 03:07:39","70.197.9.138","US","United States","California","Yes","They've had little to no impact.",,"Yes","Definitely yes","Definitely no","Much more likely to support a ban","Much more likely to support a ban","Makes no difference","Makes no difference","Makes no difference",,"16-20 years","Own",95066,"Yes","No",45,"1968-1964 (age 45-49)","Female",,,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55783186,"2013-09-16 03:27:23","2013-09-16 03:27:23","70.197.9.138","US","United States","California","Yes",,"what can replace plastic","No","Don't know","Don't know","Makes no difference","Makes no difference","Makes no difference","Makes no difference","Makes no difference","need to know what will replace plastic before we can ban. for a plastic bag ban but need to know replacements.  ","6-10 years","Own",95066,"No","No",68,"1948 or earlier (age 65+)","Female","I would not like to be contacted",,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55783187,"2013-09-16 03:44:07","2013-09-16 03:44:07","70.197.9.138","US","United States","California","Yes","They've had a positive impact.",,"No","Probably yes","Probably yes","Much more likely to support a ban","Much more likely to support a ban","Somewhat more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","fee isnt equal for all income groups","6-10 years","Own",95066,"No","No",68,"1948 or earlier (age 65+)","Female","I would not like to be contacted",,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55783188,"2013-09-16 03:59:11","2013-09-16 03:59:11","70.197.9.138","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Makes no difference",,"11-15 years","Own",95066,"No","No",55,"1958-1954 (age 55-59)","Male",,,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55783189,"2013-09-16 04:03:47","2013-09-16 04:03:47","70.197.9.138","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"more than 20 years","Own",95066,"No","No",55,"1958-1954 (age 55-59)","Female",,,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55783190,"2013-09-16 04:16:06","2013-09-16 04:16:06","70.197.9.138","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Makes no difference",,"16-20 years","Own",95066,"No","No",55,"1958-1954 (age 55-59)","Female",,,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55783192,"2013-09-16 04:42:20","2013-09-16 04:42:20","70.197.9.138","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Makes no difference","Much more likely to support a $0.10 fee",,"more than 20 years","Own",95066,"No","Yes",55,"1958-1954 (age 55-59)","Male","I would not like to be contacted",,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55783194,"2013-09-16 04:54:50","2013-09-16 04:54:50","70.197.9.138","US","United States","California","Yes","They've had a positive impact.",,"Yes","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","ocean swimmer and sees a lot of candy wrappers. out surfing if peoplevseevtrash they tuck it in their sleeves","more than 20 years","Own",95066,"Yes","No",50,"1963-1959 (age 50-54)","Female","I would not like to be contacted",,,,,"Kelly Malinowski",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55786694,"2013-09-16 03:20:39","2013-09-16 03:20:39","174.253.225.139","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Come on lets get w the times. Stop polluting. ","16-20 years","Own",95066,"No","No",60,"1953-1949 (age 60-64)","Female","I would not like to be contacted",,,,,"Laura Kasa",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788386,"2013-09-16 03:37:28","2013-09-16 03:37:28","70.197.10.144","US","United States","California","Yes","No opinion.",,,"Definitely yes","Probably yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"16-20 years","Own",95066,"No","No",68,"1948 or earlier (age 65+)","Male","I would like to receive a one-time link to the community forum on this topic",,"tim","floto",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788389,"2013-09-16 03:49:06","2013-09-16 03:49:06","70.197.10.144","US","United States","California","Yes","No opinion.",,"No","Don't know","Probably yes","Somewhat more likely to support a ban","Somewhat more likely to support a ban","Don't know/ Not applicable","Somewhat more likely to support a $0.10 fee","Makes no difference",,"6-10 years","Rent",95066,"No","No",30,"1983-1979 (age 30-34)","Male","I would not like to be contacted",,"aubreygrey",,,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788390,"2013-09-16 03:57:47","2013-09-16 03:57:47","70.197.10.144","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Probably yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"5 years or less","Rent",95066,"Yes","No",40,"1973-1969 (age 40-44)","Female","I would not like to be contacted",,"melody","whinnery",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788393,"2013-09-16 04:02:13","2013-09-16 04:02:13","70.197.10.144","US","United States","California","Yes","They've had a positive impact.",,"Yes","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"5 years or less","Own",95066,"No","No",25,"1988-1984 (age 25-29)","Female","I would like to volunteer with Save Our Shores",,"rosie","aguilera",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788394,"2013-09-16 04:08:21","2013-09-16 04:08:21","70.197.10.144","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"6-10 years","Rent",95066,"Yes","Yes",35,"1978-1974 (age 35-39)","Male","I would like to receive a one-time link to the community forum on this topic, I would not like to be contacted",,,,,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788395,"2013-09-16 04:12:18","2013-09-16 04:12:18","70.197.10.144","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"6-10 years","Rent",95066,"Yes","Yes",30,"1983-1979 (age 30-34)","Female","I would like to receive updates about this topic, I would like to volunteer with Save Our Shores",,"erin","scott",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788397,"2013-09-16 04:24:55","2013-09-16 04:24:55","70.197.10.144","US","United States","California","Yes","They've had a positive impact.",,"Yes","Definitely yes","Definitely yes","Makes no difference","Makes no difference","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Makes no difference",,"11-15 years","Own",95066,"No","No",45,"1968-1964 (age 45-49)","Male","I would not like to be contacted",,"s","trugman",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788398,"2013-09-16 04:31:02","2013-09-16 04:31:02","70.197.10.144","US","United States","California","Yes",,,"No","Definitely yes","Definitely yes",,,,,,,"5 years or less","Own",95066,"Yes","No",40,"1973-1969 (age 40-44)","Male",,,"c","chicoine",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788401,"2013-09-16 04:36:56","2013-09-16 04:36:56","70.197.10.144","US","United States","California","Yes","No opinion.",,"Yes","Definitely yes","Definitely no",,,,,,,"more than 20 years","Rent",95066,"No","No",30,"1983-1979 (age 30-34)","Male",,,"N","Canavarro",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788404,"2013-09-16 04:49:24","2013-09-16 04:49:24","70.197.10.144","US","United States","California","Yes","No opinion.",,"No","Probably no","Probably no","Makes no difference","Makes no difference","Makes no difference",,,"Im skeptical when they charge fees - is it going towards an organization thats helping or is it just another. its weird when the government says what we should or shouldnt do. this is even though I like the idea of using reusable bags. I would propose letting merchants set the standard for what they want to provide. ","5 years or less","Rent",95066,"No","No",30,"1983-1979 (age 30-34)","Female",,,"G","Lynch",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788405,"2013-09-16 04:53:45","2013-09-16 04:53:45","70.197.10.144","US","United States","California","Yes","No opinion.",,"No","Probably yes","Definitely yes","Makes no difference","Much more likely to support a ban","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Much more likely to support a $0.10 fee",,"more than 20 years","Rent",95066,"No","No",18,"1995-1989 (age 18-24)","Male","I would not like to be contacted",,"matt","beatty",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788407,"2013-09-16 05:18:49","2013-09-16 05:18:49","70.197.10.144","US","United States","California","Yes",,"dont like the added charge for the paper bag","No","Probably no","Definitely no","Don't know/ Not applicable","Makes no difference","Makes no difference","Makes no difference","Makes no difference","I own a gas station in Felton and am already effected by the county wide ban. It feels not very customer service oriented to not provide plastic bags, esp when customers only by one alcoholic beverage.  i dont have problem with the ban - its the 10 cent rider on paper bags i dont like.  getting rid of plastic doesnt have a huge effect on my business.   Would support a temporary charge to influence a quick change of habbit and then trust that people adapt.","more than 20 years","Own",95066,"Yes","Yes",45,"1968-1964 (age 45-49)","Male","I would not like to be contacted",,"K","Bunter",,"Manu Koenig",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788744,"2013-09-16 03:20:39","2013-09-16 03:20:39","174.253.225.139","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Come on lets get w the times. Stop polluting. ","16-20 years","Own",95066,"No","No",60,"1953-1949 (age 60-64)","Female","I would not like to be contacted",,,,,"Laura Kasa",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788748,"2013-09-16 03:28:46","2013-09-16 03:28:46","174.253.225.139","US","United States","California","Yes","They've had little to no impact.",,"Yes","Definitely no","Definitely no","Makes no difference","Makes no difference","Makes no difference","Makes no difference","Makes no difference",,"more than 20 years","Own",95066,"No","No",68,"1948 or earlier (age 65+)","Male","I would not like to be contacted",,,,,"Laura Kasa",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788750,"2013-09-16 03:55:28","2013-09-16 03:55:28","174.253.225.139","US","United States","California","Yes","They've had little to no impact.",,"Yes","Definitely no","Definitely no","Makes no difference","Makes no difference","Makes no difference","Makes no difference","Makes no difference","Make the fee a dollar","more than 20 years","Own",95066,"No","No",68,"1948 or earlier (age 65+)","Male","I would not like to be contacted",,,,,"Laura Kasa",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788751,"2013-09-16 04:09:28","2013-09-16 04:09:28","174.253.225.139","US","United States","California","No",,,"No","Probably yes","Definitely no","Much more likely to support a ban","Makes no difference","Makes no difference","Somewhat more likely to support a $0.10 fee","Makes no difference","Make it clear to visitors about a ban","6-10 years","Own",95066,"No","No",60,"1953-1949 (age 60-64)","Male","I would not like to be contacted",,,,,"Laura Kasa",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788755,"2013-09-16 04:24:29","2013-09-16 04:24:29","174.253.225.139","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Makes no difference","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Sv is too conservative","more than 20 years","Rent",95066,"No","No",68,"1948 or earlier (age 65+)","Female","I would not like to be contacted",,,,,"Laura Kasa",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
55788758,"2013-09-16 04:29:44","2013-09-16 04:29:44","174.253.225.139","US","United States","California","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Makes no difference",,"more than 20 years","Own",95066,"No","No",60,"1953-1949 (age 60-64)","Male","I would not like to be contacted",,,,,"Laura Kasa",,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
